#,Word,Pinyin,Part of speech,Simple Native‑Speaker Definition (in 简单话),isAtomic,modifyee,qualifiers,comment (native thinking & specificity note),speaking commonality index,writing commonality index,isIgnored
254,一,yī,number (one),(atomic – number 1),TRUE,—,—,Native thinks: “the number 1.” Basic number; atomic.,99,99,
1541,一一,yīyī,adverb,一个一个,FALSE,一个,一个,Native thinks: “one by one.”,65,65,
259,一下,yíxià,"number‑classifier (once, a little)",一次，一小点,FALSE,次,一,Native thinks: “one time; a little bit.” Not atomic; use 一次.,85,75,
262,一些,yìxiē,"number‑classifier (some, a few)",几个,FALSE,几个,—,Native thinks: “an indefinite number.” Not atomic; use 几个.,85,80,
1353,一代,yídài,noun (generation),一个时代的人,FALSE,人,时代,Native thinks: “people of the same era.” Not atomic; defined as 同一时期的人.,70,80,
171,一会儿,yíhuìr,number‑classifier/adverb (a while; soon),很短的时间,FALSE,时间,很短,Native thinks: “a short period of time.” Not atomic; defined via 时间 + 短.,85,70,
423,一共,yígòng,"adverb (altogether, in total)",加起来,FALSE,加,起来,Native thinks: “summed up.” Not atomic; defined as 加起来.,80,75,
1556,一再,yízài,adverb,很多次,FALSE,很多次,—,"Native thinks: “repeatedly, time and again.”",60,65,
865,一切,yíqiè,pronoun (everything),所有东西,FALSE,东西,所有,Native thinks: “all things.” Not atomic; defined as 所有东西.,75,85,
258,一半,yíbàn,number (half),分成两个一样的部分,FALSE,分,两个，一样,Native thinks: “one of two equal parts.” Not atomic; defined via 分 + 两个 + 一样.,80,80,
1565,一口气,yìkǒuqì,adverb,不停,FALSE,不停,—,"Native thinks: “in one breath, without a break.” Use 不停.",65,55,
1571,一同,yìtóng,adverb,一起,FALSE,一起,—,Native thinks: “together.” Use 一起.,65,65,
1554,一向,yíxiàng,adverb,一直,FALSE,一直,—,"Native thinks: “always, consistently.” Use 一直.",60,65,
424,一块儿,yíkuàir,noun/adverb (the same place; together),一个地方，一起,FALSE,地方,一个，一起,"Native thinks: “one place, together.” Not atomic; defined as 一起.",85,60,
422,一定,yídìng,adjective/adverb (certain; certainly),肯定,FALSE,肯定,不用怀疑,"Native thinks: “sure, no doubt.” Not atomic; defined as 肯定.",90,85,
1564,一帆风顺,yìfān-fēngshùn,phrase,一路顺,FALSE,顺,一路,"Native thinks: “plain sailing, smooth going.”",60,55,
1546,一带,yídài,noun,一个地区,FALSE,地区,—,"Native thinks: “region, area.” Use 地区.",55,65,
1550,一律,yílǜ,adverb,全都一样,FALSE,一样,全都,"Native thinks: “uniform, all alike.”",55,65,
1354,一旦,yídàn,"adverb (once, in case)",如果有一天,FALSE,如果,有一天,Native thinks: “if one day.” Not atomic; defined as 如果.,65,80,
1570,一时,yìshí,noun / adverb,短时间,FALSE,短时间,—,"Native thinks: “temporarily, for a moment.”",65,65,
425,一样,yíyàng,adjective (same),没什么不同,FALSE,不同,没什么,Native thinks: “no difference.” Not atomic; defined as 没不同.,90,85,
1567,一模一样,yìmú-yíyàng,adjective,完全一样,FALSE,一样,完全,Native thinks: “exactly the same.”,70,60,
1352,一次性,yícìxìng,adjective (disposable),用一次就扔,FALSE,用,一次，扔,Native thinks: “use once then throw away.” Not atomic; defined as 用一次就丢.,65,70,
1538,一流,yīliú,adjective,最好的,FALSE,好,最,Native thinks: “first‑class.”,65,65,
261,一点儿,yìdiǎnr,"number‑classifier (a little, a bit)",一小点,FALSE,点,一，小,Native thinks: “a small amount.” Not atomic; use 一小小.,85,60,
869,一生,yìshēng,noun (lifetime),-,TRUE,-,一,Native thinks: “the whole life.” Not atomic; defined as 一辈子.,75,80,
434,一直,yìzhí,"adverb (always, straight)",从开始到现在不停,FALSE,不停,从开始到现在,Native thinks: “without stopping from beginning to now.” Not atomic; defined via 不停.,85,80,
1555,一系列,yíxìliè,adjective,一连串的,FALSE,连,一串,Native thinks: “a series of.”,55,70,
1360,一致,yízhì,adjective/adverb (consistent; unanimously),一样,FALSE,一样,—,Native thinks: “the same.” Use 一样. Not atomic.,75,85,
432,一般,yìbān,"adjective (general, ordinary)",普通，没什么特别,FALSE,普通,没什么特别,"Native thinks: “ordinary, nothing special.” Not atomic; defined via 普通.",80,80,
1548,一贯,yíguàn,adjective,一直这样,FALSE,一直,这样,"Native thinks: “consistent, unswerving.”",55,70,
173,一起,yìqǐ,adverb (together),同一个地方或时间,FALSE,地方/时间,同一个,Native thinks: “in the same place or time.” Not atomic; defined via 同一个地方/时间.,90,85,
1357,一路,yílù,noun/adverb (all the way),路的全部,FALSE,路,整,Native thinks: “the whole road.” Not atomic; defined as 整条路.,70,70,
1358,一路顺风,yílù-shùnfēng,phrase (bon voyage),祝旅行顺利,FALSE,祝,旅行顺利,Native thinks: “a wish for a smooth journey.” Phrase; not atomic.,70,50,
1569,一身,yìshēn,noun,全身,FALSE,全身,—,Native thinks: “whole body.” Use 全身.,70,60,
1543,一辈子,yíbèizi,noun,一生,FALSE,一生,—,Native thinks: “a lifetime.” Use 一生.,75,60,
433,一边,yìbiān,adverb (at the same time),两个动作同时做,FALSE,做,两个，同时,Native thinks: “do two actions at the same time.” Not atomic; defined via 做 + 两个同时.,75,70,
1547,一道,yídào,adverb,一起,FALSE,一起,—,Native thinks: “together.” Use 一起.,70,60,
1557,一阵,yízhèn,quantity,一个部分,FALSE,部分,—,"Native thinks: “a period of, a burst of.” Use 一段.",65,60,
160,七,qī,number (seven),(atomic – number 7),TRUE,—,—,Native thinks: “the number 7.” Basic number; atomic.,90,90,
149,万,wàn,number (ten thousand),"(atomic – number 10,000)",TRUE,—,—,"Native thinks: “the number 10,000.” Basic number; atomic.",75,85,
1177,万一,wànyī,noun/conjunction (just in case),如果可能发生坏的,FALSE,如果,可能坏,Native thinks: “if a bad possibility happens.” Not atomic; defined as 如果万一.,70,75,
1359,万物,wànwù,noun,所有的东西,FALSE,东西,所有,"Native thinks: “all things, everything.”",55,65,
187,丈夫,zhàngfu,noun (husband),女人的爱人,FALSE,爱人,女人,Native thinks: “a woman’s spouse.” Not atomic; use 爱人.,75,75,
173,三,sān,number (three),(atomic – number 3),TRUE,—,—,Native thinks: “the number 3.” Basic number; atomic.,95,95,
175,上,shàng,"noun/verb (up, above; to go up)",(atomic – high position or movement upward),TRUE,—,—,Native thinks: “the top side; to move to a higher place.” Basic spatial word; atomic.,95,95,
963,上传,shàngchuán,verb (to upload),从自己电脑送到网上,FALSE,送,电脑，网上,Native thinks: “to send from one’s computer to the internet.” Not atomic; defined as 传到网上.,75,80,
964,上升,shàngshēng,verb (to rise),向高的地方走,FALSE,走,高处,Native thinks: “to go upward.” Not atomic; defined as 向上升.,70,80,
178,上午,shàngwǔ,noun (morning),太阳出来后到中午前,TRUE,时候,太阳出来，中午前,Native thinks: “the time after sunrise and before noon.” Not atomic; defined via 时候 + 中午前.,90,85,
127,上去,shàngqù,verb (to go up),从下面到上面,FALSE,上,去,Native thinks: “to move upward away from speaker.” Not atomic; phrase.,80,75,
1152,上台,shàngtái,verb,上舞台,FALSE,上,舞台,Native thinks: “to go onto the stage.”,65,60,
179,上学,shàngxué,verb (to go to school),去学校学习,FALSE,去,学校，学习,Native thinks: “go to school to learn.” Not atomic; defined via 去 + 学校 + 学习.,85,80,
1150,上市,shàngshì,verb,一起做工作的地方卖股,FALSE,卖,公司，股,Native thinks: “a company sells shares (go public).”,45,70,
1147,上当,shàngdàng,verb,被骗,FALSE,骗,被,"Native thinks: “to be cheated, fall for a trick.”",70,55,
1153,上旬,shàngxún,noun,一个月的前十天,FALSE,十天,一个月的前,Native thinks: “the first ten days of a month.”,55,60,
125,上来,shànglái,verb (to come up),从下面到说话人这里,FALSE,上,来,Native thinks: “to move upward toward the speaker.” Not atomic; phrase.,80,75,
966,上涨,shàngzhǎng,verb (to rise),价格或数量变高,FALSE,变,高,Native thinks: “prices or numbers become higher.” Not atomic; defined as 变高.,70,85,
176,上班,shàngbān,verb (to go to work),去工作的地方做事,FALSE,去,工作地方，做事,Native thinks: “go to the workplace to do work.” Not atomic; defined via 去 + 工作地方.,85,80,
1148,上级,shàngjí,noun,上面的人,FALSE,人,上面,"Native thinks: “superior, higher level person.”",60,70,
128,上网,shàngwǎng,verb (to go online),用电脑或手机看网,FALSE,用,电脑/手机，看网,Native thinks: “use a computer or phone to access the internet.” Not atomic; defined via 用 + 电脑 + 看网.,85,80,
324,上衣,shàngyī,"noun (jacket, top garment)",穿上身的衣服,FALSE,衣服,穿上身,Native thinks: “clothing worn on the upper body.” Transparent compound; not atomic.,70,65,
177,上课,shàngkè,verb (to attend class),去上课,FALSE,去,课,Native thinks: “go to a lesson.” Not atomic; defined as 去上课.,85,80,
1149,上进,shàngjìn,verb,往好走,FALSE,走,好,Native thinks: “to make progress toward better.”,55,60,
1151,上述,shàngshù,adjective,前面说的,FALSE,说的,前面,Native thinks: “above‑mentioned.”,50,75,
632,上门,shàngmén,verb (to visit),到别人家里去,FALSE,到,别人家,Native thinks: “to go to someone’s home.” Not atomic; defined as 到别人家.,70,65,
126,上面,shàngmiàn,"noun (above, top)",上边的地方,FALSE,位置,上边,Native thinks: “the position above.” Not atomic; defined as 上边的位置.,85,80,
226,下,xià,"noun/verb/classifier (down, below; to go down; times)",(atomic – lower position or downward movement),TRUE,—,—,Native thinks: “the bottom; to move to a lower place.” Basic spatial word; atomic.,95,95,
1414,下功夫,xià gōngfu,verb,花很多时间力气,FALSE,花,很多时间力气,Native thinks: “to put in effort.”,65,55,
230,下午,xiàwǔ,noun (afternoon),中午后到天黑前,TRUE,时候,中午后，天黑前,Native thinks: “the time after noon and before dark.” Not atomic; defined via 时候 + 中午后.,90,85,
1415,下单,xiàdān,verb,定东西,FALSE,定,东西,Native thinks: “to place an order.”,60,65,
160,下去,xiàqù,verb (to go down),从上面到下面,FALSE,下,去,Native thinks: “to move downward away from speaker.” Not atomic; phrase.,80,75,
1418,下旬,xiàxún,noun,一个月最后十天,FALSE,十天,一个月最后,Native thinks: “late part of the month (last ten days).”,55,60,
158,下来,xiàlái,verb (to come down),从上面到说话人这里,FALSE,下,来,Native thinks: “to move downward toward speaker.” Not atomic; phrase.,80,75,
228,下班,xiàbān,verb (to get off work),完工作,FALSE,结束,工作，离开,Native thinks: “finish work and leave.” Not atomic; defined via 结束 + 工作.,80,75,
1417,下线,xiàxiàn,verb,从网上下来,FALSE,下来,网上,Native thinks: “to go offline.”,65,65,
229,下课,xiàkè,verb (to finish class),课结束,TRUE,结束,课,Native thinks: “class is over.” Not atomic; defined as 课结束.,80,75,
1230,下载,xiàzài,verb (to download),从网上拿到自己电脑里,FALSE,拿,网上，电脑,Native thinks: “to get from the internet into one’s computer.” Not atomic; defined as 从网上下.,80,85,
793,下降,xiàjiàng,verb (to decline),向下走，变少,FALSE,下,走，变少,"Native thinks: “to go down, become less.” Not atomic; defined as 向下.",70,80,
227,下雨,xià yǔ,verb (to rain),天上下水,FALSE,下,水，天上,Native thinks: “water falls from the sky.” Not atomic; defined as 天上下水.,85,75,
159,下面,xiàmiàn,"noun (below, under)",下边的位置,TRUE,位置,下边,Native thinks: “the position underneath.” Not atomic; defined as 下边的位置.,85,80,
13,不,bù,"adverb (not, no)",(atomic – negation),TRUE,—,—,Native thinks: “not.” Basic negation; atomic.,99,95,
42,不久,bùjiǔ,"adjective (soon, not long after)",不长时间后,FALSE,时间,不长，后,Native thinks: “after a short time.” Described as 时间不长后.,60,65,
55,不仅,bùjǐn,conjunction (not only),同“不只”,FALSE,不只,—,Native thinks: “not only.” Use 不只. Not atomic.,70,85,
38,不但,búdàn,conjunction (not only),(use 也 instead),FALSE,—,—,"Native thinks: “not just this, but also that.” Grammatical; replace with 也.",75,80,
44,不便,búbiàn,adjective/verb (inconvenient; short of money),不方便,FALSE,方便,不,Native thinks: “not convenient.” Use 不方便. Not atomic.,70,75,
54,不光,bùguāng,adverb/conjunction (not only),不只,FALSE,只,不,Native thinks: “not only.” Use 不只. Not atomic.,65,70,
73,不利,búlì,adjective (unfavorable),不好，不利,FALSE,好,不,"Native thinks: “not good, disadvantageous.” Use 不好. Not atomic.",65,75,
